GeographicCode,FSA,Population,Dwellings,Residents
K0E,K0E,38903,18248,16177
K0G,K0G,37097,18931,15121
K0H,K0H,44019,25284,17479
K0J,K0J,33702,19946,14306
K0K,K0K,111372,51289,44868
K0L,K0L,71343,48033,30095
K0M,K0M,49388,37172,21430
K1A,K1A,589,484,352
K1B,K1B,17110,6826,6611
K1C,K1C,37662,14338,14172
K1E,K1E,14803,5815,5742
K1G,K1G,34075,15128,14195
K1H,K1H,15796,7180,6804
K1J,K1J,26931,11111,10652
K1K,K1K,29499,14212,13482
K1L,K1L,17021,10452,9369
K1M,K1M,6695,3180,2919
K1N,K1N,25063,16708,13262
K1P,K1P,340,469,230
K1R,K1R,18730,12095,10518
K1S,K1S,28660,14379,12757
K1T,K1T,35432,12557,12219
K1V,K1V,54835,22427,21048
K1W,K1W,10032,3420,3278
K1X,K1X,835,349,325
K1Y,K1Y,19774,9988,9458
K1Z,K1Z,20983,10909,10054
K2A,K2A,16790,7433,7205
K2B,K2B,32260,15640,14719
K2C,K2C,27941,12901,11863
K2E,K2E,19034,8424,7976
K2G,K2G,49222,18145,17506
K2H,K2H,26402,10879,10555
K2J,K2J,68963,23593,23145
K2K,K2K,24431,9326,8921
K2L,K2L,19162,7276,7208
K2M,K2M,27028,9308,9226
K2P,K2P,17603,13302,11706
K2R,K2R,1188,412,393
K2S,K2S,32061,11125,11008
K2T,K2T,9447,3138,3096
K2V,K2V,2435,887,827
K2W,K2W,8660,2624,2603
K4A,K4A,54524,18677,18544
K4B,K4B,4793,1771,1732
K4C,K4C,4530,1623,1578
K4K,K4K,15368,6118,5977
K4M,K4M,11009,4165,4019
K4P,K4P,9821,3336,3273
K4R,K4R,7435,2639,2595
K6A,K6A,12538,6231,5917
K6H,K6H,30949,14455,13515
K6J,K6J,17644,8221,8000
K6K,K6K,3153,1293,1284
K6T,K6T,556,207,203
K6V,K6V,27782,13427,12688
K7A,K7A,16626,7507,7083
K7C,K7C,17666,7459,6956
K7G,K7G,8297,4035,3683
K7H,K7H,15009,7888,6540
K7K,K7K,31621,16175,14418
K7L,K7L,17749,11904,8441
K7M,K7M,47676,21655,20605
K7N,K7N,7900,3060,3007
K7P,K7P,21653,8308,8178
K7R,K7R,14406,6541,6034
K7S,K7S,12986,5899,5608
K7V,K7V,13438,6619,5997
K8A,K8A,25771,11691,10925
K8B,K8B,442,159,156
K8H,K8H,15205,5922,5555
K8N,K8N,28462,12984,12363
K8P,K8P,21289,9686,9243
K8R,K8R,1418,544,539
K8V,K8V,27192,11792,11384
K9A,K9A,25677,11353,10999
K9H,K9H,28597,14046,12960
K9J,K9J,43047,19192,18207
K9K,K9K,13155,5105,4927
K9L,K9L,7364,2923,2811
K9V,K9V,27760,12554,11654
L0A,L0A,13590,5089,4940
L0B,L0B,15146,5988,5615
L0C,L0C,9414,3539,3383
L0E,L0E,20497,9815,8027
L0G,L0G,39873,14486,13986
L0H,L0H,3385,1192,1124
L0J,L0J,5003,1512,1433
L0K,L0K,34722,21324,14461
L0L,L0L,46902,21825,17286
L0M,L0M,35844,13706,12715
L0N,L0N,5050,2111,1772
L0P,L0P,8543,3202,2915
L0R,L0R,97999,35050,34415
L0S,L0S,55265,26504,22237
L1A,L1A,15304,6739,6536
L1B,L1B,11977,4745,4656
L1C,L1C,43531,15805,15537
L1E,L1E,27117,9321,9233
L1G,L1G,41124,18496,17836
L1H,L1H,31261,14143,13424
L1J,L1J,41793,17472,16897
L1K,L1K,39697,12815,12704
L1L,L1L,5742,2023,1799
L1M,L1M,21878,6842,6752
L1N,L1N,47572,18892,18459
L1P,L1P,17479,5443,5427
L1R,L1R,40287,12624,12507
L1S,L1S,40689,15436,15172
L1T,L1T,50536,14512,14320
L1V,L1V,51910,17740,17470
L1W,L1W,17033,6791,6549
L1X,L1X,19481,5855,5717
L1Y,L1Y,2005,740,711
L1Z,L1Z,28446,8154,8054
L2A,L2A,16532,7529,6944
L2E,L2E,20956,9906,9289
L2G,L2G,26096,11711,11148
L2H,L2H,25616,9140,8916
L2J,L2J,14463,6121,6051
L2M,L2M,32759,14395,14020
L2N,L2N,30648,13306,13068
L2P,L2P,14517,6432,6210
L2R,L2R,24496,12535,11432
L2S,L2S,19006,7503,7256
L2T,L2T,10684,5398,4571
L2V,L2V,16268,7509,6499
L2W,L2W,2043,678,671
L3B,L3B,22980,10728,10255
L3C,L3C,31670,13545,13159
L3K,L3K,18226,8708,8028
L3M,L3M,26845,10417,10214
L3P,L3P,37764,12889,12601
L3R,L3R,62298,20441,19587
L3S,L3S,56117,14906,14287
L3T,L3T,50669,20181,19526
L3V,L3V,44915,20774,18841
L3X,L3X,42239,13013,12857
L3Y,L3Y,44469,17251,16690
L3Z,L3Z,33666,11312,11009
L4A,L4A,42174,14433,14174
L4B,L4B,35858,12367,11975
L4C,L4C,71152,27583,26312
L4E,L4E,52207,15905,15449
L4G,L4G,55445,19381,18851
L4H,L4H,68382,19325,19003
L4J,L4J,77214,26277,25783
L4K,L4K,15591,5558,5033
L4L,L4L,54282,18774,18224
L4M,L4M,45991,18988,18005
L4N,L4N,98663,36532,35628
L4P,L4P,28916,10856,10297
L4R,L4R,18153,8286,7901
L4S,L4S,35803,10607,10379
L4T,L4T,38445,12359,11459
L4V,L4V,5,1,1
L4W,L4W,20761,7337,7199
L4X,L4X,19592,7183,6928
L4Y,L4Y,23796,9170,9012
L4Z,L4Z,38102,13151,12758
L5A,L5A,47828,18649,18283
L5B,L5B,63394,26478,24822
L5C,L5C,29687,10243,9842
L5E,L5E,12731,5438,5309
L5G,L5G,20206,8892,8599
L5H,L5H,17608,6535,6330
L5J,L5J,28089,10588,10404
